source_name,true_class,total_variants,correct_variants,incorrect_variants,source_accuracy_percent,majority_prediction,majority_vote_correct,unique_predictions,prediction_distribution,average_confidence_percent,minimum_confidence_percent,maximum_confidence_percent
prf_11_18_11_jpg,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,2,"{'Acral_Lentiginous_Melanoma': 2, 'clubbing': 1}",66.99333333333334,40.28,82.8
100_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.73666666666668,95.06,96.25
11_png,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},96.48,95.0,97.44
120_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.66666666666667,94.0,96.75
161_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},94.63333333333333,92.3,96.0
171_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},93.73,92.25,94.94
183_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},94.83333333333333,92.5,96.56
193_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},94.79,94.06,95.75
198_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.99333333333334,95.44,96.44
201_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},89.58,88.44,90.8
209_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},93.31666666666666,90.6,95.75
210_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},51.32333333333333,47.16,54.75
218_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.86666666666667,94.75,96.75
21_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},92.55333333333334,91.4,94.06
220_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},96.81666666666666,96.3,97.4
230_jpg,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.45333333333333,94.5,96.06
231_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},96.04666666666667,95.7,96.44
244_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},93.52,92.9,94.6
247-jpg-crdownload_jpg,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},80.76666666666667,70.0,89.6
259_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},88.5,79.9,93.4
260_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},90.23666666666668,89.06,90.9
266_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},94.48,93.8,95.44
269_jpg,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},92.23,88.94,95.0
270_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},66.53666666666668,43.97,81.44
27_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},89.75333333333333,87.06,93.8
288_jpg,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},88.55333333333334,85.4,91.2
28_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},75.96,58.88,90.75
293_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},93.79666666666667,92.75,95.2
2_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.01333333333332,94.5,95.6
304_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},92.23333333333333,90.5,93.4
307_jpg,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},91.64666666666666,90.9,92.94
38_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},92.3,89.9,93.9
41_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},91.06,83.3,95.94
4229e494114681c808066e262f2f82ad1c89676d_jpg,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},73.16666666666667,61.2,91.2
42_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.86666666666667,95.5,96.4
57_jpg,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},93.23333333333333,92.2,94.75
59_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},88.02,74.0,96.06
64_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},93.10000000000001,91.94,94.06
65_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},94.76666666666667,93.0,96.3
78_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},71.86666666666666,65.0,84.5
81_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},95.73333333333335,94.9,96.3
85_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},92.08,90.94,93.2
95_JPG,pitting,3,3,0,100.0,pitting,True,1,{'pitting': 3},96.75,96.7,96.8
Nail-apparatus-lentigo-in-an-adult_Q320_jpg,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},89.36333333333334,86.94,91.75
Pseudo-Hutchinsons-sign-with-homogeneous-brownish-and-grayish-longitudinal-bands-and_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},73.50666666666667,55.72,85.4
Screen-Shot-2021-10-15-at-10-36-10-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},96.01333333333332,95.4,97.2
Screen-Shot-2021-10-15-at-10-36-46-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},93.01333333333332,90.94,96.3
Screen-Shot-2021-10-15-at-10-38-28-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},91.04,87.06,93.56
Screen-Shot-2021-10-15-at-10-38-37-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},95.48,94.75,96.25
Screen-Shot-2021-10-15-at-10-40-02-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},96.14666666666666,95.44,96.6
Screen-Shot-2021-10-15-at-10-51-21-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},94.40000000000002,92.5,95.4
Screen-Shot-2021-10-15-at-11-11-25-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},95.36,93.2,97.44
Screen-Shot-2021-10-26-at-10-55-01-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},87.09333333333332,85.9,89.44
Screen-Shot-2021-10-26-at-10-57-27-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},95.78666666666668,93.9,97.56
Screen-Shot-2021-10-26-at-11-04-45-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},94.31666666666666,93.6,95.6
Screen-Shot-2021-10-26-at-11-19-00-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},83.93666666666667,70.0,94.06
Screen-Shot-2021-10-26-at-12-06-59-PM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},86.70333333333333,77.56,96.3
Screen-Shot-2021-10-26-at-12-11-28-PM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},92.23333333333333,91.75,92.7
Screen-Shot-2021-10-26-at-12-13-11-PM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},69.92,54.16,83.0
Screen-Shot-2021-10-26-at-12-20-35-PM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},91.31666666666666,88.9,92.8
Screen-Shot-2021-10-26-at-12-21-21-PM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},93.88333333333333,91.3,96.75
Screen-Shot-2021-11-16-at-10-36-29-PM_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,1,{'Onychogryphosis': 3},90.37666666666667,84.25,93.94
Screen-Shot-2021-11-16-at-10-39-52-PM_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,1,{'Onychogryphosis': 3},92.67999999999999,88.5,96.1
Screen-Shot-2021-11-16-at-10-50-56-PM_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,1,{'Onychogryphosis': 3},95.62666666666667,94.0,96.94
Screen-Shot-2021-11-16-at-7-01-06-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.11333333333334,88.5,93.9
Screen-Shot-2021-11-16-at-7-01-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},78.17999999999999,72.6,84.0
Screen-Shot-2021-11-16-at-7-02-13-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.67,90.2,93.56
Screen-Shot-2021-11-16-at-7-05-55-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.71333333333332,90.2,96.94
Screen-Shot-2021-11-16-at-7-08-26-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},84.14999999999999,80.0,88.25
Screen-Shot-2021-11-16-at-7-11-28-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},80.33333333333333,64.56,93.94
Screen-Shot-2021-11-16-at-7-12-02-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.75,89.06,93.44
Screen-Shot-2021-11-16-at-7-14-39-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},54.653333333333336,49.34,60.0
Screen-Shot-2021-11-16-at-7-17-45-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.43333333333334,90.44,93.3
Screen-Shot-2021-11-19-at-1-00-57-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.73333333333333,91.4,92.2
Screen-Shot-2021-11-19-at-1-22-03-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.83333333333333,89.6,93.8
Screen-Shot-2021-11-19-at-1-26-44-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},89.58333333333333,87.2,92.8
Screen-Shot-2021-11-19-at-1-36-01-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},61.71666666666666,49.7,69.75
Screen-Shot-2021-11-19-at-1-52-48-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},87.51666666666667,80.7,93.6
Screen-Shot-2021-11-19-at-1-52-59-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.75,93.25,94.5
Screen-Shot-2021-11-19-at-12-48-20-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.73333333333333,92.5,95.5
Screen-Shot-2021-11-19-at-12-48-45-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},92.67,90.25,94.7
Screen-Shot-2021-11-19-at-12-55-39-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},90.38333333333333,85.4,94.0
Screen-Shot-2021-11-19-at-2-13-04-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},92.51666666666665,90.2,94.25
Screen-Shot-2021-11-19-at-2-28-32-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},92.45333333333333,87.8,95.5
Screen-Shot-2021-11-19-at-2-30-31-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},87.18,79.7,91.4
Screen-Shot-2021-11-20-at-10-24-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},92.66666666666667,90.44,95.0
Screen-Shot-2021-11-20-at-10-24-29-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.64999999999999,89.1,93.75
Screen-Shot-2021-11-20-at-10-27-47-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.53333333333335,90.3,95.2
Screen-Shot-2021-11-20-at-10-41-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},86.2,84.9,87.6
Screen-Shot-2021-11-20-at-7-48-45-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},87.2,79.1,91.75
Screen-Shot-2021-11-20-at-7-52-57-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},88.21666666666665,83.8,93.1
Screen-Shot-2021-11-20-at-7-55-58-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},72.06666666666668,62.4,89.6
Screen-Shot-2021-11-20-at-7-56-11-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.5,90.44,92.06
Screen-Shot-2021-11-20-at-8-00-54-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},88.56666666666666,85.7,91.06
Screen-Shot-2021-11-20-at-8-18-57-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},95.03333333333335,93.7,96.5
Screen-Shot-2021-11-20-at-8-26-51-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},87.48666666666666,85.06,89.6
Screen-Shot-2021-11-20-at-8-26-59-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.37333333333333,92.56,95.0
Screen-Shot-2021-11-20-at-8-29-24-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.21333333333332,90.3,91.94
Screen-Shot-2021-11-20-at-9-40-24-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.39666666666666,84.25,95.0
Screen-Shot-2021-11-20-at-9-40-46-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.35333333333334,90.56,95.0
Screen-Shot-2021-11-20-at-9-41-53-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},91.02666666666666,89.44,92.44
Screen-Shot-2021-11-20-at-9-44-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},92.78000000000002,91.44,93.9
Screen-Shot-2021-11-20-at-9-48-48-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,1,{'Acral_Lentiginous_Melanoma': 3},93.28666666666668,91.9,94.9
Screen-Shot-2021-11-22-at-10-01-02-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},78.34666666666666,64.44,94.6
Screen-Shot-2021-11-22-at-10-03-29-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},96.13,95.44,96.7
Screen-Shot-2021-11-22-at-10-04-13-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},93.78333333333335,93.2,94.25
Screen-Shot-2021-11-22-at-10-06-37-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},96.41666666666667,95.06,98.75
Screen-Shot-2021-11-22-at-10-07-30-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},90.78333333333335,84.5,95.6
Screen-Shot-2021-11-22-at-10-07-58-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},94.53000000000002,93.4,95.44
Screen-Shot-2021-11-22-at-10-08-21-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},92.19666666666667,89.25,93.9
Screen-Shot-2021-11-22-at-10-08-26-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},93.92666666666666,93.44,94.44
Screen-Shot-2021-11-22-at-10-08-48-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},92.63333333333333,89.9,95.4
Screen-Shot-2021-11-22-at-10-09-14-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},91.56333333333333,89.75,93.44
Screen-Shot-2021-11-22-at-4-48-34-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},88.38,76.5,97.44
Screen-Shot-2021-11-22-at-4-50-49-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},93.42999999999999,87.94,97.25
Screen-Shot-2021-11-22-at-4-55-14-PM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},77.8,66.9,88.94
Screen-Shot-2021-11-22-at-5-01-41-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},76.2,55.9,88.8
Screen-Shot-2021-11-22-at-5-02-29-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},95.04666666666667,93.44,95.9
Screen-Shot-2021-11-22-at-5-05-43-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},90.26666666666667,85.8,92.8
Screen-Shot-2021-11-22-at-5-06-03-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},92.96666666666665,88.8,97.9
Screen-Shot-2021-11-22-at-5-06-33-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},87.56666666666666,76.6,97.1
Screen-Shot-2021-11-22-at-5-11-21-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},95.69666666666667,94.44,96.75
Screen-Shot-2021-11-22-at-5-17-34-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},95.26666666666667,91.44,98.06
Screen-Shot-2021-11-22-at-5-19-49-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},92.24666666666667,90.7,93.44
Screen-Shot-2021-11-22-at-5-23-38-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},84.68666666666667,65.06,94.75
Screen-Shot-2021-11-22-at-5-26-02-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},91.48333333333333,85.4,95.25
Screen-Shot-2021-11-22-at-5-29-07-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},85.73333333333335,74.2,95.6
Screen-Shot-2021-11-22-at-8-11-22-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,1,{'blue_finger': 3},81.15333333333332,59.56,92.7
Screen-Shot-2021-11-22-at-8-17-57-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},89.89999999999999,80.06,95.7
Screen-Shot-2021-11-22-at-8-20-33-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},92.66666666666667,91.7,93.3
Screen-Shot-2021-11-22-at-8-22-42-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},92.08333333333333,90.3,93.7
Screen-Shot-2021-11-22-at-8-24-20-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},89.36333333333334,86.44,93.4
Screen-Shot-2021-11-22-at-8-28-06-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},91.17999999999999,89.9,93.2
Screen-Shot-2021-11-22-at-8-28-22-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},95.05333333333334,94.06,96.7
Screen-Shot-2021-11-22-at-8-28-27-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},83.98666666666666,82.2,85.2
Screen-Shot-2021-11-22-at-8-29-33-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},52.41,46.6,61.66
Screen-Shot-2021-11-22-at-8-31-47-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},91.63666666666666,88.56,93.6
Screen-Shot-2021-11-22-at-8-40-06-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},81.66333333333334,67.94,90.3
Screen-Shot-2021-11-22-at-8-42-52-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},93.81333333333333,93.06,94.94
Screen-Shot-2021-11-22-at-8-44-54-AM_png,clubbing,3,3,0,100.0,clubbing,True,1,{'clubbing': 3},91.53333333333335,87.8,95.0
