comparison,source_name,splits,classes,number_of_images
train_vs_test,53_JPG,"test, train",pitting,3
train_vs_test,56_JPG,"test, train",pitting,3
train_vs_test,59_JPG,"test, train",pitting,3
train_vs_test,5_JPG,"test, train",pitting,3
train_vs_test,64_JPG,"test, train",pitting,2
train_vs_test,65_JPG,"test, train",pitting,3
train_vs_test,66_jpg,"test, train",pitting,2
train_vs_test,68_JPG,"test, train",pitting,3
train_vs_test,74_JPG,"test, train",pitting,3
train_vs_test,75_JPG,"test, train",pitting,2
train_vs_test,7_JPG,"test, train",pitting,2
train_vs_test,89_JPG,"test, train",pitting,3
train_vs_test,91_JPG,"test, train",pitting,3
train_vs_test,9_JPG,"test, train",pitting,3
train_vs_test,CuvmX-dWIAAv_PX_jpeg,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-10-15-at-10-36-15-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-36-37-AM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-10-15-at-10-36-41-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-38-28-AM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-10-15-at-10-38-37-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-39-17-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-39-29-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-39-37-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-40-07-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-43-46-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-44-24-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-10-51-25-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-11-10-13-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-11-11-16-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-11-11-25-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-9-30-50-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-9-30-55-AM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-10-15-at-9-31-06-AM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-10-26-at-10-55-01-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-10-55-32-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-10-56-07-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-10-56-32-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-10-59-07-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-11-06-37-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-11-11-50-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-12-09-28-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-12-10-09-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-12-10-57-PM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-12-11-28-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-12-15-17-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-12-17-59-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-12-18-05-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-10-26-at-12-19-42-PM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-10-26-at-12-20-45-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-16-at-10-23-59-PM_png,"test, train",Onychogryphosis,3
train_vs_test,Screen-Shot-2021-11-16-at-10-24-09-PM_png,"test, train",Onychogryphosis,2
train_vs_test,Screen-Shot-2021-11-16-at-10-50-37-PM_png,"test, train",Onychogryphosis,3
train_vs_test,Screen-Shot-2021-11-16-at-10-50-56-PM_png,"test, train",Onychogryphosis,3
train_vs_test,Screen-Shot-2021-11-16-at-6-58-09-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-16-at-6-58-19-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-6-58-26-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-6-59-48-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-00-57-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-01-17-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-05-55-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-06-53-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-07-46-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-07-58-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-08-26-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-16-at-7-10-55-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-12-11-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-12-20-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-13-16-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-13-54-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-14-06-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-14-19-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-16-at-7-17-45-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-00-57-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-26-44-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-27-17-AM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-19-at-1-31-21-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-37-53-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-38-40-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-38-57-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-41-42-AM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-19-at-1-43-17-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-45-52-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-53-47-AM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-19-at-1-54-25-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-54-57-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-55-04-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-56-09-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-1-56-53-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-12-37-14-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-12-39-46-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-12-41-44-AM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-19-at-12-55-27-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-12-55-39-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-12-56-04-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-10-05-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-11-28-AM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-19-at-2-13-04-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-14-13-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-17-07-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-26-44-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-27-01-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-27-33-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-19-at-2-27-56-AM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-19-at-2-30-18-AM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-10-04-59-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-10-24-29-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-10-28-12-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-10-30-41-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-20-at-10-40-57-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-7-49-00-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-7-49-26-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-20-at-7-49-46-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-7-52-57-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-7-53-27-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-7-56-35-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-7-57-54-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-00-48-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-00-58-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-20-at-8-04-14-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-20-at-8-17-41-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-18-57-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-19-36-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-19-44-PM_png,"test, train",Acral_Lentiginous_Melanoma,2
train_vs_test,Screen-Shot-2021-11-20-at-8-19-58-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-20-37-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-24-21-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-26-37-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-26-59-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-28-25-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-34-56-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-35-45-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-36-28-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-8-37-53-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-9-40-12-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-9-40-24-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-9-40-40-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-9-44-26-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-20-at-9-44-34-PM_png,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,Screen-Shot-2021-11-22-at-10-03-16-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-03-41-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-04-13-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-10-05-18-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-10-06-39-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-10-06-57-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-10-07-11-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-10-07-55-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-07-58-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-08-21-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-08-34-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-10-08-48-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-09-14-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-09-18-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-09-28-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-10-14-30-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-10-15-44-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-4-49-53-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-4-50-45-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-4-55-22-PM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-4-55-25-PM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-4-57-31-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-4-57-51-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-01-12-PM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-5-01-41-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-02-29-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-03-01-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-03-11-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-05-41-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-05-43-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-06-00-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-06-33-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-09-59-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-10-07-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-10-19-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-18-20-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-21-20-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-22-06-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-23-38-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-25-44-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-26-02-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-26-29-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-26-45-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-27-14-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-5-27-36-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-5-29-14-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-8-05-33-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-07-54-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-13-50-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-14-15-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-8-15-47-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-8-15-51-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-8-17-06-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-17-11-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-19-18-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-8-22-42-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-23-26-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-24-20-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-8-24-28-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-25-46-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-8-26-00-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-28-12-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-28-22-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-30-42-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-8-30-46-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-35-57-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-40-06-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-44-44-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-44-48-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-45-05-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-45-38-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-46-56-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-8-51-01-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-8-56-36-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-8-59-55-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-00-08-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-00-17-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-9-02-53-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-03-22-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-05-44-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-9-06-56-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-07-07-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-07-19-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-07-23-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-08-36-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-9-09-23-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-09-32-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-10-55-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-13-27-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-14-59-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-15-35-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-21-08-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-21-16-PM_png,"test, train",blue_finger,2
train_vs_test,Screen-Shot-2021-11-22-at-9-21-29-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-22-07-PM_png,"test, train",blue_finger,3
train_vs_test,Screen-Shot-2021-11-22-at-9-23-26-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-23-46-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-24-05-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-24-37-AM_png,"test, train",clubbing,2
train_vs_test,Screen-Shot-2021-11-22-at-9-27-45-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-27-51-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-31-39-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-32-29-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-37-40-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-40-07-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-43-45-AM_png,"test, train",clubbing,3
train_vs_test,Screen-Shot-2021-11-22-at-9-44-03-AM_png,"test, train",clubbing,3
