source_name,true_class,total_variants,correct_variants,incorrect_variants,source_accuracy_percent,majority_prediction,majority_vote_correct,average_confidence_percent,source_status
Screen-Shot-2021-11-22-at-5-30-06-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,80.85000000000001,MIXED
Screen-Shot-2021-11-22-at-8-55-16-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,62.779999999999994,MIXED
Screenshot-2021-11-21-232633_png,Onychogryphosis,3,2,1,66.66666666666666,Onychogryphosis,True,52.53333333333334,MIXED
prf_11_18_11_jpg,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,66.99333333333334,MIXED
100_JPG,pitting,3,3,0,100.0,pitting,True,95.73666666666668,ALL_CORRECT
11_png,pitting,3,3,0,100.0,pitting,True,96.48,ALL_CORRECT
120_JPG,pitting,3,3,0,100.0,pitting,True,95.66666666666667,ALL_CORRECT
161_JPG,pitting,3,3,0,100.0,pitting,True,94.63333333333333,ALL_CORRECT
171_JPG,pitting,3,3,0,100.0,pitting,True,93.73,ALL_CORRECT
183_JPG,pitting,3,3,0,100.0,pitting,True,94.83333333333333,ALL_CORRECT
193_JPG,pitting,3,3,0,100.0,pitting,True,94.79,ALL_CORRECT
198_JPG,pitting,3,3,0,100.0,pitting,True,95.99333333333334,ALL_CORRECT
201_JPG,pitting,3,3,0,100.0,pitting,True,89.58,ALL_CORRECT
209_JPG,pitting,3,3,0,100.0,pitting,True,93.31666666666666,ALL_CORRECT
210_JPG,pitting,3,3,0,100.0,pitting,True,51.32333333333333,ALL_CORRECT
218_JPG,pitting,3,3,0,100.0,pitting,True,95.86666666666667,ALL_CORRECT
21_JPG,pitting,3,3,0,100.0,pitting,True,92.55333333333334,ALL_CORRECT
220_JPG,pitting,3,3,0,100.0,pitting,True,96.81666666666666,ALL_CORRECT
230_jpg,pitting,3,3,0,100.0,pitting,True,95.45333333333333,ALL_CORRECT
231_JPG,pitting,3,3,0,100.0,pitting,True,96.04666666666667,ALL_CORRECT
244_JPG,pitting,3,3,0,100.0,pitting,True,93.52,ALL_CORRECT
247-jpg-crdownload_jpg,pitting,3,3,0,100.0,pitting,True,80.76666666666667,ALL_CORRECT
259_JPG,pitting,3,3,0,100.0,pitting,True,88.5,ALL_CORRECT
260_JPG,pitting,3,3,0,100.0,pitting,True,90.23666666666668,ALL_CORRECT
266_JPG,pitting,3,3,0,100.0,pitting,True,94.48,ALL_CORRECT
269_jpg,pitting,3,3,0,100.0,pitting,True,92.23,ALL_CORRECT
270_JPG,pitting,3,3,0,100.0,pitting,True,66.53666666666668,ALL_CORRECT
27_JPG,pitting,3,3,0,100.0,pitting,True,89.75333333333333,ALL_CORRECT
288_jpg,pitting,3,3,0,100.0,pitting,True,88.55333333333334,ALL_CORRECT
28_JPG,pitting,3,3,0,100.0,pitting,True,75.96,ALL_CORRECT
293_JPG,pitting,3,3,0,100.0,pitting,True,93.79666666666667,ALL_CORRECT
2_JPG,pitting,3,3,0,100.0,pitting,True,95.01333333333332,ALL_CORRECT
304_JPG,pitting,3,3,0,100.0,pitting,True,92.23333333333333,ALL_CORRECT
307_jpg,pitting,3,3,0,100.0,pitting,True,91.64666666666666,ALL_CORRECT
38_JPG,pitting,3,3,0,100.0,pitting,True,92.3,ALL_CORRECT
41_JPG,pitting,3,3,0,100.0,pitting,True,91.06,ALL_CORRECT
4229e494114681c808066e262f2f82ad1c89676d_jpg,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,73.16666666666667,ALL_CORRECT
42_JPG,pitting,3,3,0,100.0,pitting,True,95.86666666666667,ALL_CORRECT
57_jpg,pitting,3,3,0,100.0,pitting,True,93.23333333333333,ALL_CORRECT
59_JPG,pitting,3,3,0,100.0,pitting,True,88.02,ALL_CORRECT
64_JPG,pitting,3,3,0,100.0,pitting,True,93.10000000000001,ALL_CORRECT
65_JPG,pitting,3,3,0,100.0,pitting,True,94.76666666666667,ALL_CORRECT
78_JPG,pitting,3,3,0,100.0,pitting,True,71.86666666666666,ALL_CORRECT
81_JPG,pitting,3,3,0,100.0,pitting,True,95.73333333333335,ALL_CORRECT
85_JPG,pitting,3,3,0,100.0,pitting,True,92.08,ALL_CORRECT
95_JPG,pitting,3,3,0,100.0,pitting,True,96.75,ALL_CORRECT
Nail-apparatus-lentigo-in-an-adult_Q320_jpg,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,89.36333333333334,ALL_CORRECT
Pseudo-Hutchinsons-sign-with-homogeneous-brownish-and-grayish-longitudinal-bands-and_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,73.50666666666667,ALL_CORRECT
Screen-Shot-2021-10-15-at-10-36-10-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,96.01333333333332,ALL_CORRECT
Screen-Shot-2021-10-15-at-10-36-46-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,93.01333333333332,ALL_CORRECT
Screen-Shot-2021-10-15-at-10-38-28-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,91.04,ALL_CORRECT
Screen-Shot-2021-10-15-at-10-38-37-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.48,ALL_CORRECT
Screen-Shot-2021-10-15-at-10-40-02-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,96.14666666666666,ALL_CORRECT
Screen-Shot-2021-10-15-at-10-51-21-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,94.40000000000002,ALL_CORRECT
Screen-Shot-2021-10-15-at-11-11-25-AM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.36,ALL_CORRECT
Screen-Shot-2021-10-26-at-10-55-01-AM_png,clubbing,3,3,0,100.0,clubbing,True,87.09333333333332,ALL_CORRECT
Screen-Shot-2021-10-26-at-10-57-27-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.78666666666668,ALL_CORRECT
Screen-Shot-2021-10-26-at-11-04-45-AM_png,clubbing,3,3,0,100.0,clubbing,True,94.31666666666666,ALL_CORRECT
Screen-Shot-2021-10-26-at-11-19-00-AM_png,clubbing,3,3,0,100.0,clubbing,True,83.93666666666667,ALL_CORRECT
Screen-Shot-2021-10-26-at-12-06-59-PM_png,clubbing,3,3,0,100.0,clubbing,True,86.70333333333333,ALL_CORRECT
Screen-Shot-2021-10-26-at-12-11-28-PM_png,clubbing,3,3,0,100.0,clubbing,True,92.23333333333333,ALL_CORRECT
Screen-Shot-2021-10-26-at-12-13-11-PM_png,clubbing,3,3,0,100.0,clubbing,True,69.92,ALL_CORRECT
Screen-Shot-2021-10-26-at-12-20-35-PM_png,clubbing,3,3,0,100.0,clubbing,True,91.31666666666666,ALL_CORRECT
Screen-Shot-2021-10-26-at-12-21-21-PM_png,clubbing,3,3,0,100.0,clubbing,True,93.88333333333333,ALL_CORRECT
Screen-Shot-2021-11-16-at-10-36-29-PM_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,90.37666666666667,ALL_CORRECT
Screen-Shot-2021-11-16-at-10-39-52-PM_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,92.67999999999999,ALL_CORRECT
Screen-Shot-2021-11-16-at-10-50-56-PM_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,95.62666666666667,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-01-06-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.11333333333334,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-01-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,78.17999999999999,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-02-13-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.67,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-05-55-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.71333333333332,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-08-26-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,84.14999999999999,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-11-28-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,80.33333333333333,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-12-02-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.75,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-14-39-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,54.653333333333336,ALL_CORRECT
Screen-Shot-2021-11-16-at-7-17-45-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.43333333333334,ALL_CORRECT
Screen-Shot-2021-11-19-at-1-00-57-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.73333333333333,ALL_CORRECT
Screen-Shot-2021-11-19-at-1-22-03-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.83333333333333,ALL_CORRECT
Screen-Shot-2021-11-19-at-1-26-44-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,89.58333333333333,ALL_CORRECT
Screen-Shot-2021-11-19-at-1-36-01-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,61.71666666666666,ALL_CORRECT
Screen-Shot-2021-11-19-at-1-52-48-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,87.51666666666667,ALL_CORRECT
Screen-Shot-2021-11-19-at-1-52-59-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.75,ALL_CORRECT
Screen-Shot-2021-11-19-at-12-48-20-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.73333333333333,ALL_CORRECT
Screen-Shot-2021-11-19-at-12-48-45-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,92.67,ALL_CORRECT
Screen-Shot-2021-11-19-at-12-55-39-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,90.38333333333333,ALL_CORRECT
Screen-Shot-2021-11-19-at-2-13-04-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,92.51666666666665,ALL_CORRECT
Screen-Shot-2021-11-19-at-2-28-32-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,92.45333333333333,ALL_CORRECT
Screen-Shot-2021-11-19-at-2-30-31-AM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,87.18,ALL_CORRECT
Screen-Shot-2021-11-20-at-10-24-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,92.66666666666667,ALL_CORRECT
Screen-Shot-2021-11-20-at-10-24-29-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.64999999999999,ALL_CORRECT
Screen-Shot-2021-11-20-at-10-27-47-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.53333333333335,ALL_CORRECT
Screen-Shot-2021-11-20-at-10-41-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,86.2,ALL_CORRECT
Screen-Shot-2021-11-20-at-7-48-45-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,87.2,ALL_CORRECT
Screen-Shot-2021-11-20-at-7-52-57-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,88.21666666666665,ALL_CORRECT
Screen-Shot-2021-11-20-at-7-55-58-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,72.06666666666668,ALL_CORRECT
Screen-Shot-2021-11-20-at-7-56-11-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.5,ALL_CORRECT
Screen-Shot-2021-11-20-at-8-00-54-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,88.56666666666666,ALL_CORRECT
Screen-Shot-2021-11-20-at-8-18-57-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,95.03333333333335,ALL_CORRECT
Screen-Shot-2021-11-20-at-8-26-51-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,87.48666666666666,ALL_CORRECT
Screen-Shot-2021-11-20-at-8-26-59-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.37333333333333,ALL_CORRECT
Screen-Shot-2021-11-20-at-8-29-24-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.21333333333332,ALL_CORRECT
Screen-Shot-2021-11-20-at-9-40-24-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.39666666666666,ALL_CORRECT
Screen-Shot-2021-11-20-at-9-40-46-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.35333333333334,ALL_CORRECT
Screen-Shot-2021-11-20-at-9-41-53-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,91.02666666666666,ALL_CORRECT
Screen-Shot-2021-11-20-at-9-44-17-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,92.78000000000002,ALL_CORRECT
Screen-Shot-2021-11-20-at-9-48-48-PM_png,Acral_Lentiginous_Melanoma,3,3,0,100.0,Acral_Lentiginous_Melanoma,True,93.28666666666668,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-01-02-AM_png,clubbing,3,3,0,100.0,clubbing,True,78.34666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-03-29-AM_png,clubbing,3,3,0,100.0,clubbing,True,96.13,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-04-13-AM_png,clubbing,3,3,0,100.0,clubbing,True,93.78333333333335,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-06-37-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,96.41666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-07-30-AM_png,clubbing,3,3,0,100.0,clubbing,True,90.78333333333335,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-07-58-AM_png,clubbing,3,3,0,100.0,clubbing,True,94.53000000000002,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-08-21-AM_png,clubbing,3,3,0,100.0,clubbing,True,92.19666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-08-26-AM_png,clubbing,3,3,0,100.0,clubbing,True,93.92666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-08-48-AM_png,clubbing,3,3,0,100.0,clubbing,True,92.63333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-10-09-14-AM_png,clubbing,3,3,0,100.0,clubbing,True,91.56333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-4-48-34-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,88.38,ALL_CORRECT
Screen-Shot-2021-11-22-at-4-50-49-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,93.42999999999999,ALL_CORRECT
Screen-Shot-2021-11-22-at-4-55-14-PM_png,clubbing,3,3,0,100.0,clubbing,True,77.8,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-01-41-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,76.2,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-02-29-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.04666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-05-43-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,90.26666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-06-03-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,92.96666666666665,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-06-33-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,87.56666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-11-21-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.69666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-17-34-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.26666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-19-49-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,92.24666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-23-38-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,84.68666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-26-02-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,91.48333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-5-29-07-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,85.73333333333335,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-11-22-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,81.15333333333332,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-17-57-AM_png,clubbing,3,3,0,100.0,clubbing,True,89.89999999999999,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-20-33-AM_png,clubbing,3,3,0,100.0,clubbing,True,92.66666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-22-42-AM_png,clubbing,3,3,0,100.0,clubbing,True,92.08333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-24-20-AM_png,clubbing,3,3,0,100.0,clubbing,True,89.36333333333334,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-28-06-AM_png,clubbing,3,3,0,100.0,clubbing,True,91.17999999999999,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-28-22-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.05333333333334,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-28-27-AM_png,clubbing,3,3,0,100.0,clubbing,True,83.98666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-29-33-AM_png,clubbing,3,3,0,100.0,clubbing,True,52.41,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-31-47-AM_png,clubbing,3,3,0,100.0,clubbing,True,91.63666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-40-06-AM_png,clubbing,3,3,0,100.0,clubbing,True,81.66333333333334,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-42-52-AM_png,clubbing,3,3,0,100.0,clubbing,True,93.81333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-44-54-AM_png,clubbing,3,3,0,100.0,clubbing,True,91.53333333333335,ALL_CORRECT
Screen-Shot-2021-11-22-at-8-59-50-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.63333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-00-08-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,90.76666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-04-06-AM_png,clubbing,3,3,0,100.0,clubbing,True,86.60000000000001,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-06-46-AM_png,clubbing,3,3,0,100.0,clubbing,True,94.38666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-07-34-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.51666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-07-39-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.31333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-08-51-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,86.26666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-09-44-AM_png,clubbing,3,3,0,100.0,clubbing,True,93.8,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-10-55-AM_png,clubbing,3,3,0,100.0,clubbing,True,71.77333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-12-51-AM_png,clubbing,3,3,0,100.0,clubbing,True,96.43333333333334,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-12-59-AM_png,clubbing,3,3,0,100.0,clubbing,True,96.55,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-13-20-AM_png,clubbing,3,3,0,100.0,clubbing,True,96.17,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-13-27-AM_png,clubbing,3,3,0,100.0,clubbing,True,97.64999999999999,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-15-11-AM_png,clubbing,3,3,0,100.0,clubbing,True,70.09333333333333,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-21-29-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,94.77999999999999,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-21-33-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,84.93333333333334,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-21-43-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,88.08666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-27-56-AM_png,clubbing,3,3,0,100.0,clubbing,True,94.03333333333335,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-33-50-AM_png,clubbing,3,3,0,100.0,clubbing,True,88.90000000000002,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-37-33-AM_png,clubbing,3,3,0,100.0,clubbing,True,76.96666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-40-12-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.01666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-44-40-AM_png,clubbing,3,3,0,100.0,clubbing,True,90.28333333333335,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-46-24-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.54333333333334,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-46-26-AM_png,clubbing,3,3,0,100.0,clubbing,True,95.89999999999999,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-48-08-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,93.09666666666665,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-48-12-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,94.44666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-49-25-AM_png,clubbing,3,3,0,100.0,clubbing,True,89.36666666666667,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-52-25-PM_png,blue_finger,3,3,0,100.0,blue_finger,True,95.31666666666666,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-54-05-AM_png,clubbing,3,3,0,100.0,clubbing,True,84.47,ALL_CORRECT
Screen-Shot-2021-11-22-at-9-56-34-AM_png,clubbing,3,3,0,100.0,clubbing,True,93.46999999999998,ALL_CORRECT
Screenshot-2021-11-19-004044_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,95.31333333333333,ALL_CORRECT
Screenshot-2021-11-19-004140_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,80.33333333333333,ALL_CORRECT
Screenshot-2021-11-19-004402_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,84.53333333333333,ALL_CORRECT
Screenshot-2021-11-19-005529_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,95.38333333333333,ALL_CORRECT
Screenshot-2021-11-19-005556_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,95.12666666666667,ALL_CORRECT
Screenshot-2021-11-19-005611_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,75.58999999999999,ALL_CORRECT
Screenshot-2021-11-19-005926_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,95.71333333333332,ALL_CORRECT
Screenshot-2021-11-19-010147_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,95.94666666666666,ALL_CORRECT
Screenshot-2021-11-19-010506_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,77.94666666666667,ALL_CORRECT
Screenshot-2021-11-19-010751_png,Onychogryphosis,3,3,0,100.0,Onychogryphosis,True,85.91666666666667,ALL_CORRECT
